name,loc_x,loc_y,loc_z,rot_w,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z
table_4,2.8300700187683105,0.6891949772834778,0.0,0.7071067690849304,0.0,0.0,0.7071067690849304,1.3512499332427979,1.3512499332427979,1.3512500524520874
table_6,-1.5815900564193726,-0.3768790066242218,0.05282299965620041,1.0,0.0,0.0,0.0,1.0,1.0,1.0
couch_105,-4.038559913635254,-0.331371009349823,0.0026700000744313,0.7071067690849304,0.0,0.0,0.7071067690849304,1.9999998807907104,1.9999998807907104,2.0
chair_107,3.2815499305725098,2.0264499187469482,0.4640049934387207,1.0,0.0,0.0,0.0,1.0,1.0,1.0
chair_106,1.7111599445343018,1.534809947013855,0.35958701372146606,0.7071067690849304,0.0,0.0,0.7071067690849304,0.9999999403953552,0.9999999403953552,1.0
chair_4,1.850119948387146,0.3723450005054474,0.4282439947128296,0.7071067690849304,0.0,0.0,0.7071067690849304,0.9999999403953552,0.9999999403953552,1.0
chair_3,2.4843900203704834,-0.9906600117683411,0.31069499254226685,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cabinet_2,-3.185960054397583,-3.291019916534424,0.8731459975242615,0.0,0.0,0.0,1.0,2.252690076828003,2.252690076828003,2.252690076828003
cabinet_1,2.583669900894165,4.089940071105957,0.07217100262641907,1.0,0.0,0.0,0.0,1.1039999723434448,1.1039999723434448,1.1039999723434448
bed_1,0.4579850137233734,-3.157449960708618,0.0,0.0,0.0,0.0,1.0,1.5745500326156616,1.5745500326156616,1.5745500326156616
bed_2,-2.32138991355896,3.2848598957061768,0.0,1.0,0.0,0.0,0.0,1.3176499605178833,1.3176499605178833,1.3176499605178833
Plane,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.955860137939453,4.955860137939453,4.955860137939453
